frame_id,vehicle_id,lane,world_y,speed,action
0,1,0,0,300,maintain
30,1,0,450,300,maintain
60,1,0,900,300,maintain
90,1,0,1350,300,maintain
120,1,0,1800,280,decelerate
150,1,0,2100,260,decelerate
180,1,0,2350,260,maintain
210,1,0,2600,280,accelerate
240,1,0,2880,300,accelerate
270,1,0,3180,320,accelerate
300,1,0,3500,300,maintain
330,1,0,3950,300,maintain
360,1,0,4400,300,maintain
390,1,0,4850,300,maintain
420,1,0,5300,300,maintain
450,1,0,5750,300,maintain
480,1,0,6200,300,maintain
510,1,0,6650,300,maintain
540,1,0,7100,300,maintain
570,1,0,7550,300,maintain
600,1,0,8000,300,maintain
0,2,1,200,320,maintain
30,2,1,675,320,maintain
60,2,1,1150,320,maintain
90,2,1,1625,320,maintain
120,2,1,2100,320,maintain
150,2,1,2575,320,maintain
180,2,1,3050,320,maintain
210,2,1,3525,320,maintain
240,2,1,4000,300,decelerate
270,2,1,4390,280,decelerate
300,2,1,4750,260,decelerate
330,2,1,5080,260,maintain
360,2,1,5440,260,maintain
390,2,2,5800,260,change_lane
420,2,2,6160,280,accelerate
450,2,2,6540,300,accelerate
480,2,2,6940,320,accelerate
510,2,2,7360,340,accelerate
540,2,2,7800,340,maintain
570,2,2,8260,340,maintain
600,2,2,8720,340,maintain
0,3,2,500,280,maintain
30,3,2,950,280,maintain
60,3,2,1400,280,maintain
90,3,2,1850,280,maintain
120,3,2,2300,280,maintain
150,3,2,2750,280,maintain
180,3,2,3200,280,maintain
210,3,2,3650,280,maintain
240,3,2,4100,280,maintain
270,3,2,4550,280,maintain
300,3,2,5000,280,maintain
330,3,2,5450,280,maintain
360,3,2,5900,280,maintain
390,3,2,6350,280,maintain
420,3,2,6800,280,maintain
450,3,2,7250,280,maintain
480,3,2,7700,280,maintain
510,3,2,8150,280,maintain
540,3,2,8600,280,maintain
570,3,2,9050,280,maintain
600,3,2,9500,280,maintain
0,4,3,800,340,maintain
30,4,3,1260,340,maintain
60,4,3,1720,340,maintain
90,4,3,2180,340,maintain
120,4,3,2640,340,maintain
150,4,3,3100,340,maintain
180,4,3,3560,340,maintain
210,4,3,4020,340,maintain
240,4,3,4480,340,maintain
270,4,3,4940,340,maintain
300,4,3,5400,340,maintain
330,4,3,5860,340,maintain
360,4,3,6320,340,maintain
390,4,3,6780,340,maintain
420,4,3,7240,340,maintain
450,4,3,7700,340,maintain
480,4,3,8160,340,maintain
510,4,3,8620,340,maintain
540,4,3,9080,340,maintain
570,4,3,9540,340,maintain
600,4,3,10000,340,maintain
0,5,1,-300,290,maintain
30,5,1,90,290,maintain
60,5,1,480,290,maintain
90,5,1,870,290,maintain
120,5,1,1260,290,maintain
150,5,1,1650,290,maintain
180,5,1,2040,290,maintain
210,5,1,2430,290,maintain
240,5,1,2820,290,maintain
270,5,1,3210,290,maintain
300,5,1,3600,290,maintain
330,5,1,3990,290,maintain
360,5,1,4380,290,maintain
390,5,1,4770,290,maintain
420,5,1,5160,290,maintain
450,5,1,5550,290,maintain
480,5,1,5940,290,maintain
510,5,1,6330,290,maintain
540,5,1,6720,290,maintain
570,5,1,7110,290,maintain
600,5,1,7500,290,maintain
0,6,0,-600,350,maintain
30,6,0,-120,350,maintain
60,6,0,360,350,maintain
90,6,0,840,350,maintain
120,6,0,1320,350,maintain
150,6,0,1800,350,maintain
180,6,0,2280,350,maintain
210,6,0,2760,350,maintain
240,6,0,3240,350,maintain
270,6,0,3720,350,maintain
300,6,0,4200,350,maintain
330,6,0,4680,350,maintain
360,6,0,5160,350,maintain
390,6,0,5640,350,maintain
420,6,0,6120,350,maintain
450,6,0,6600,350,maintain
480,6,0,7080,350,maintain
510,6,0,7560,350,maintain
540,6,0,8040,350,maintain
570,6,0,8520,350,maintain
600,6,0,9000,350,maintain
0,7,2,1200,310,maintain
30,7,2,1650,310,maintain
60,7,2,2100,310,maintain
90,7,2,2550,310,maintain
120,7,2,3000,310,maintain
150,7,2,3450,310,maintain
180,7,2,3900,310,maintain
210,7,2,4350,310,maintain
240,7,2,4800,310,maintain
270,7,2,5250,310,maintain
300,7,2,5700,310,maintain
330,7,2,6150,310,maintain
360,7,2,6600,310,maintain
390,7,2,7050,310,maintain
420,7,2,7500,310,maintain
450,7,2,7950,310,maintain
480,7,2,8400,310,maintain
510,7,2,8850,310,maintain
540,7,2,9300,310,maintain
570,7,2,9750,310,maintain
600,7,2,10200,310,maintain
0,8,3,400,330,maintain
