frame_id,vehicle_id,lane,world_y,speed,action
0,1,0,0,200,maintain
30,1,0,600,200,maintain
60,1,0,1200,200,maintain
90,1,1,1800,180,change_lane
120,1,1,2340,180,maintain
150,1,1,2880,180,maintain
180,1,1,3420,180,maintain
210,1,2,3960,160,change_lane
240,1,2,4440,160,maintain
270,1,2,4920,160,maintain
300,1,2,5400,180,accelerate
330,1,2,5940,180,maintain
360,1,1,6480,200,change_lane
390,1,1,7080,200,maintain
420,1,0,7680,220,change_lane
450,1,0,8340,220,maintain
480,1,0,9000,220,maintain
510,1,0,9660,220,maintain
540,1,0,10320,220,maintain
570,1,0,10980,220,maintain
600,1,0,11640,220,maintain
0,2,1,300,180,maintain
30,2,1,840,180,maintain
60,2,1,1380,180,maintain
90,2,0,1920,160,change_lane
120,2,0,2400,160,maintain
150,2,0,2880,160,maintain
180,2,2,3360,180,change_lane
210,2,2,3900,180,maintain
240,2,2,4440,180,maintain
270,2,3,4980,200,change_lane
300,2,3,5580,200,maintain
330,2,3,6180,200,maintain
360,2,2,6780,180,change_lane
390,2,2,7320,180,maintain
420,2,1,7860,160,change_lane
450,2,1,8340,160,maintain
480,2,1,8820,160,maintain
510,2,0,9300,180,change_lane
540,2,0,9840,180,maintain
570,2,0,10380,180,maintain
600,2,0,10920,180,maintain
0,3,2,600,160,maintain
30,3,2,1080,160,maintain
60,3,2,1560,160,maintain
90,3,1,2040,140,change_lane
120,3,1,2460,140,maintain
150,3,1,2880,140,maintain
180,3,0,3300,160,change_lane
210,3,0,3780,160,maintain
240,3,0,4260,160,maintain
270,3,1,4740,180,change_lane
300,3,1,5280,180,maintain
330,3,2,5820,200,change_lane
360,3,2,6420,200,maintain
390,3,3,7020,220,change_lane
420,3,3,7680,220,maintain
450,3,2,8340,200,change_lane
480,3,2,8940,200,maintain
510,3,1,9540,180,change_lane
540,3,1,10080,180,maintain
570,3,0,10620,160,change_lane
600,3,0,11100,160,maintain
0,4,3,900,220,maintain
30,4,3,1560,220,maintain
60,4,3,2220,220,maintain
90,4,2,2880,200,change_lane
120,4,2,3480,200,maintain
150,4,2,4080,200,maintain
180,4,1,4680,180,change_lane
210,4,1,5220,180,maintain
240,4,0,5760,160,change_lane
270,4,0,6240,160,maintain
300,4,1,6720,180,change_lane
330,4,1,7260,180,maintain
360,4,2,7800,200,change_lane
390,4,2,8400,200,maintain
420,4,3,9000,220,change_lane
450,4,3,9660,220,maintain
480,4,3,10320,220,maintain
510,4,2,10980,200,change_lane
540,4,2,11580,200,maintain
